date,category,revenue,cost,profit,orders_count
2024-01-01,Кухни,171958,133919.17862707915,38038.82137292085,8
2024-01-01,Шкафы,160268,113613.59338981865,46654.40661018135,3
2024-01-01,Столы,218266,144216.4465288377,74049.5534711623,5
2024-01-01,Стулья,225203,123862.4125987662,101340.5874012338,3
2024-01-01,Кровати,117221,60924.9175967975,56296.0824032025,8
2024-01-02,Кухни,244027,202174.77067304525,41852.22932695475,2
2024-01-02,Шкафы,55311,46863.57474458479,8447.425255415212,1
2024-01-02,Столы,234779,167650.66107819736,67128.33892180264,9
2024-01-02,Стулья,180608,123476.4756439815,57131.524356018504,3
2024-01-02,Кровати,117435,79853.69244628586,37581.30755371414,9
2024-01-03,Кухни,61394,49175.31346590938,12218.686534090622,7
2024-01-03,Шкафы,277348,182404.77328733707,94943.22671266293,2
2024-01-03,Столы,191699,159066.1970270607,32632.802972939302,2
2024-01-03,Стулья,224073,135926.00238499464,88146.99761500536,5
2024-01-03,Кровати,174243,101820.45009686961,72422.54990313039,7
2024-01-04,Кухни,98555,66358.25613160568,32196.74386839432,3
2024-01-04,Шкафы,130077,82842.29672795655,47234.70327204345,2
2024-01-04,Столы,250551,191515.29485077434,59035.70514922566,6
2024-01-04,Стулья,290181,200616.2274495393,89564.77255046071,6
2024-01-04,Кровати,59692,50102.7559601827,9589.244039817298,2
2024-01-05,Кухни,87065,70800.35014274414,16264.649857255863,8
2024-01-05,Шкафы,90397,51399.19198493622,38997.80801506378,9
2024-01-05,Столы,270861,166272.254552304,104588.74544769601,2
2024-01-05,Стулья,132798,104918.13930912527,27879.86069087473,9
2024-01-05,Кровати,267851,190833.65559699418,77017.34440300582,9
2024-01-06,Кухни,88044,68742.02084072803,19301.97915927197,1
2024-01-06,Шкафы,98984,83682.10578636297,15301.894213637031,8
2024-01-06,Столы,243664,138778.9502388699,104885.0497611301,8
2024-01-06,Стулья,229262,180065.01130364425,49196.98869635575,1
2024-01-06,Кровати,214231,161777.07711580608,52453.92288419392,1
2024-01-07,Кухни,62666,32957.02875094898,29708.97124905102,7
2024-01-07,Шкафы,114505,61896.155331323745,52608.844668676255,7
2024-01-07,Столы,58392,41934.46847760016,16457.53152239984,2
2024-01-07,Стулья,102256,53402.72793339667,48853.27206660333,7
2024-01-07,Кровати,127373,78183.35134677948,49189.648653220516,3
2024-01-08,Кухни,265723,192156.28938632243,73566.71061367757,3
2024-01-08,Шкафы,251664,159561.11815281323,92102.88184718677,3
2024-01-08,Столы,234064,176157.8145246772,57906.185475322796,7
2024-01-08,Стулья,187982,110838.6824072617,77143.3175927383,9
2024-01-08,Кровати,181278,117765.3232541004,63512.676745899604,3
2024-01-09,Кухни,295310,240239.78160342143,55070.218396578566,1
2024-01-09,Шкафы,157059,109493.1243206636,47565.8756793364,4
2024-01-09,Столы,199213,109321.32295929521,89891.67704070479,7
2024-01-09,Стулья,237116,163359.73607178064,73756.26392821936,4
2024-01-09,Кровати,236892,124828.57367970687,112063.42632029313,3
2024-01-10,Кухни,167845,135646.24355383057,32198.756446169427,9
2024-01-10,Шкафы,159556,128444.368074797,31111.631925202993,4
2024-01-10,Столы,229997,186101.633398697,43895.36660130299,7
2024-01-10,Стулья,196779,122928.67629763216,73850.32370236784,1
2024-01-10,Кровати,211152,122421.13790436962,88730.86209563038,9
2024-01-11,Кухни,142787,89013.28725128545,53773.71274871455,3
2024-01-11,Шкафы,286902,159985.03275244567,126916.96724755433,9
2024-01-11,Столы,169101,97696.02850044383,71404.97149955617,3
2024-01-11,Стулья,63545,39281.314623395236,24263.685376604764,6
2024-01-11,Кровати,111087,75714.31282916186,35372.68717083814,9
2024-01-12,Кухни,168451,105664.31955263806,62786.68044736194,1
2024-01-12,Шкафы,89353,74775.64360073686,14577.356399263139,7
2024-01-12,Столы,291025,218063.49195146625,72961.50804853375,5
2024-01-12,Стулья,266688,226473.89506685626,40214.10493314374,1
2024-01-12,Кровати,275281,186072.7944677125,89208.20553228751,6
2024-01-13,Кухни,181926,108705.56282844843,73220.43717155157,1
2024-01-13,Шкафы,105680,61700.91521198997,43979.08478801003,2
2024-01-13,Столы,268164,180020.76350247534,88143.23649752466,6
2024-01-13,Стулья,268527,189967.77561060665,78559.22438939335,7
2024-01-13,Кровати,148506,93466.56662814923,55039.43337185077,1
2024-01-14,Кухни,75342,58849.55443381094,16492.44556618906,5
2024-01-14,Шкафы,233155,196829.00784536797,36325.992154632026,6
2024-01-14,Столы,84698,66551.55137927739,18146.448620722615,1
2024-01-14,Стулья,143384,87790.15509256758,55593.844907432416,6
2024-01-14,Кровати,101663,52282.36312555869,49380.63687444131,4
2024-01-15,Кухни,183883,135548.89864202554,48334.10135797446,3
2024-01-15,Шкафы,174249,118355.596160457,55893.403839542996,3
2024-01-15,Столы,192483,139706.17797573374,52776.822024266265,4
2024-01-15,Стулья,189752,140763.3861881467,48988.61381185331,7
2024-01-15,Кровати,150689,119526.29435217426,31162.705647825744,9
2024-01-16,Кухни,89384,51232.68021180693,38151.31978819307,3
2024-01-16,Шкафы,197718,144530.753964825,53187.24603517499,9
2024-01-16,Столы,197443,135323.02969982073,62119.970300179266,2
2024-01-16,Стулья,212688,113274.64451768539,99413.35548231461,5
2024-01-16,Кровати,167796,135733.99674462946,32062.00325537054,7
2024-01-17,Кухни,224088,133916.10328088692,90171.89671911308,3
2024-01-17,Шкафы,65151,51881.78702728875,13269.212972711248,4
2024-01-17,Столы,56295,36117.624755720295,20177.375244279705,1
2024-01-17,Стулья,62183,49611.14930539858,12571.850694601417,1
2024-01-17,Кровати,82711,64090.20870799988,18620.791292000118,8
2024-01-18,Кухни,242339,170422.55530330114,71916.44469669886,9
2024-01-18,Шкафы,263090,221201.42658418475,41888.57341581525,2
2024-01-18,Столы,228047,138396.55929098526,89650.44070901474,2
2024-01-18,Стулья,52869,34732.20760543897,18136.79239456103,9
2024-01-18,Кровати,144179,108027.95078413322,36151.04921586678,1
2024-01-19,Кухни,141412,79556.68693474229,61855.31306525771,8
2024-01-19,Шкафы,203471,154731.4921738946,48739.5078261054,3
2024-01-19,Столы,136416,82916.54734346743,53499.452656532565,3
2024-01-19,Стулья,226597,134331.42131835158,92265.57868164842,6
2024-01-19,Кровати,97333,62057.98329224642,35275.01670775358,6
2024-01-20,Кухни,186967,134784.23342039058,52182.76657960942,2
2024-01-20,Шкафы,229476,155108.10235209248,74367.89764790752,1
2024-01-20,Столы,275732,160080.30553397318,115651.69446602682,3
2024-01-20,Стулья,237907,120978.22851903275,116928.77148096725,1
2024-01-20,Кровати,155983,87660.68928708241,68322.31071291759,5
2024-01-21,Кухни,93525,58879.18235448665,34645.81764551335,9
2024-01-21,Шкафы,83828,69150.68096261134,14677.319037388661,1
2024-01-21,Столы,181373,152050.27957304262,29322.720426957385,3
2024-01-21,Стулья,247307,197487.82329114323,49819.17670885677,5
2024-01-21,Кровати,282351,225287.2516188096,57063.74838119041,3
2024-01-22,Кухни,76641,53256.331944624646,23384.668055375354,6
2024-01-22,Шкафы,247177,204046.06991231293,43130.93008768707,8
2024-01-22,Столы,292289,209060.44654963576,83228.55345036424,6
2024-01-22,Стулья,68070,37372.43162100257,30697.56837899743,2
2024-01-22,Кровати,226089,171662.3726068006,54426.62739319939,1
2024-01-23,Кухни,155864,116254.19274329836,39609.807256701635,7
2024-01-23,Шкафы,104748,63244.59558438686,41503.40441561314,3
2024-01-23,Столы,232065,186458.49816395208,45606.501836047915,7
2024-01-23,Стулья,270984,195044.26904915442,75939.73095084558,4
2024-01-23,Кровати,52368,27484.261879508274,24883.738120491726,3
2024-01-24,Кухни,236838,120708.24535595857,116129.75464404143,2
2024-01-24,Шкафы,259729,169724.05592407763,90004.94407592237,6
2024-01-24,Столы,168834,111930.07152768152,56903.92847231848,6
2024-01-24,Стулья,105609,84607.7649673472,21001.235032652796,1
2024-01-24,Кровати,289283,148573.4799679814,140709.5200320186,6
2024-01-25,Кухни,196410,106939.58435148485,89470.41564851515,1
2024-01-25,Шкафы,261207,200998.19710848012,60208.80289151988,5
2024-01-25,Столы,268214,142118.98474154348,126095.01525845652,4
2024-01-25,Стулья,213165,146918.06999430642,66246.93000569358,7
2024-01-25,Кровати,253687,191313.47626233532,62373.523737664684,2
2024-01-26,Кухни,67019,50271.50725046267,16747.492749537327,3
2024-01-26,Шкафы,136672,87413.67758479204,49258.322415207964,3
2024-01-26,Столы,78251,59503.22830006332,18747.771699936682,5
2024-01-26,Стулья,82217,68809.62264835123,13407.37735164877,7
2024-01-26,Кровати,182222,135498.63412398202,46723.36587601798,5
2024-01-27,Кухни,166352,93265.74985634886,73086.25014365114,1
2024-01-27,Шкафы,180798,106234.19542582687,74563.80457417313,6
2024-01-27,Столы,296319,167124.83428889405,129194.16571110595,5
2024-01-27,Стулья,161488,134713.74955530826,26774.250444691745,7
2024-01-27,Кровати,79375,55088.148521332354,24286.851478667646,6
2024-01-28,Кухни,240710,124375.01218382988,116334.98781617012,3
2024-01-28,Шкафы,194356,105352.15210111969,89003.84789888031,5
2024-01-28,Столы,225150,115784.53144474064,109365.46855525936,4
2024-01-28,Стулья,210196,139982.3047625938,70213.69523740621,5
2024-01-28,Кровати,144758,89924.61231929081,54833.38768070919,5
2024-01-29,Кухни,76646,39612.23350640205,37033.76649359795,6
2024-01-29,Шкафы,148116,120024.04328576317,28091.956714236832,4
2024-01-29,Столы,221230,111800.03820695463,109429.96179304537,3
2024-01-29,Стулья,150793,101840.15752533179,48952.842474668214,8
2024-01-29,Кровати,59540,44023.12099048786,15516.879009512137,8
2024-01-30,Кухни,238751,173057.88578186263,65693.11421813737,1
2024-01-30,Шкафы,99115,69878.20135827176,29236.798641728237,4
2024-01-30,Столы,199143,146770.16732251094,52372.83267748906,3
2024-01-30,Стулья,216267,117860.13506249331,98406.86493750669,3
2024-01-30,Кровати,143610,119126.31641593887,24483.68358406113,3
2024-01-31,Кухни,278928,233300.03655519686,45627.96344480314,2
2024-01-31,Шкафы,147532,78642.67561018527,68889.32438981473,3
2024-01-31,Столы,77350,40602.254685439555,36747.745314560445,8
2024-01-31,Стулья,138668,110339.0093675293,28328.990632470697,2
2024-01-31,Кровати,107458,64329.64263566,43128.35736434,4
2024-02-01,Кухни,132745,98743.43125569246,34001.568744307544,8
2024-02-01,Шкафы,155891,100749.40869056064,55141.59130943936,9
2024-02-01,Столы,94425,61207.68530460543,33217.31469539457,8
2024-02-01,Стулья,97295,68259.60354240736,29035.396457592637,3
2024-02-01,Кровати,135999,74077.48642910407,61921.51357089593,1
2024-02-02,Кухни,246582,173394.0962781251,73187.9037218749,7
2024-02-02,Шкафы,188429,131269.6926268857,57159.30737311431,1
2024-02-02,Столы,201222,153493.12230109924,47728.87769890076,9
2024-02-02,Стулья,118450,63500.25779226568,54949.74220773432,1
2024-02-02,Кровати,160448,108597.35642907982,51850.643570920176,9
2024-02-03,Кухни,231589,139919.6613503029,91669.3386496971,3
2024-02-03,Шкафы,228352,118450.71606899932,109901.28393100068,9
2024-02-03,Столы,205538,109336.00834064391,96201.99165935609,7
2024-02-03,Стулья,109163,90880.56507820846,18282.434921791544,4
2024-02-03,Кровати,104098,70012.04472295527,34085.95527704473,5
2024-02-04,Кухни,176020,106073.83601200266,69946.16398799734,9
2024-02-04,Шкафы,278275,204638.27567769325,73636.72432230675,4
2024-02-04,Столы,168324,130796.61283463842,37527.38716536158,9
2024-02-04,Стулья,51062,27161.00811185528,23900.99188814472,7
2024-02-04,Кровати,138461,95861.41150139936,42599.58849860064,5
2024-02-05,Кухни,204786,166019.2860696194,38766.71393038059,2
2024-02-05,Шкафы,153150,84239.71163723712,68910.28836276288,1
2024-02-05,Столы,258124,204813.20303303518,53310.796966964816,8
